,RunId,iteration,Step,height,width,density,minority_pc,preference,Number of Happy Agents,Average Utility of Majority Agents,Average Utility of Minority Agents
275,47,1,20,70,60,0.7,0.30000000000000004,0.5,577,0.288662103784762,-0.09805961958603829
276,47,1,40,70,60,0.7,0.30000000000000004,0.5,600,0.29566828525278327,-0.09510582010582014
277,47,1,60,70,60,0.7,0.30000000000000004,0.5,600,0.2978011524244401,-0.09533458360513167
278,47,1,80,70,60,0.7,0.30000000000000004,0.5,620,0.29996347364777565,-0.09676230081073531
279,47,1,100,70,60,0.7,0.30000000000000004,0.5,576,0.28679091173325194,-0.09107116971598375
280,48,1,0,70,60,0.7,0.30000000000000004,0.75,0,0.0,0.0
281,48,1,20,70,60,0.7,0.30000000000000004,0.75,459,0.1851795920586109,-0.08718892046925307
282,48,1,40,70,60,0.7,0.30000000000000004,0.75,446,0.17931780588947954,-0.08341548758011573
283,48,1,60,70,60,0.7,0.30000000000000004,0.75,469,0.18627929319151032,-0.08483048851199533
284,48,1,80,70,60,0.7,0.30000000000000004,0.75,474,0.18733904275996094,-0.08324014537321775
285,48,1,100,70,60,0.7,0.30000000000000004,0.75,451,0.1859839761083822,-0.08476509515526146
286,49,1,0,70,60,0.7,0.30000000000000004,1.0,0,0.0,0.0
287,49,1,20,70,60,0.7,0.30000000000000004,1.0,377,0.04051479691681029,0.048481553961006146
288,49,1,40,70,60,0.7,0.30000000000000004,1.0,383,0.038215938691197666,0.05208275090858268
289,49,1,60,70,60,0.7,0.30000000000000004,1.0,384,0.041711152823817474,0.05135070771078605
290,49,1,80,70,60,0.7,0.30000000000000004,1.0,386,0.03802956277096634,0.04256308307188941
291,49,1,100,70,60,0.7,0.30000000000000004,1.0,386,0.04502620356688051,0.04759989231613507
292,50,1,0,70,60,0.7,0.4,0.0,0,0.0,0.0
293,50,1,20,70,60,0.7,0.4,0.0,791,0.45601851851852004,0.08380810657596373
294,50,1,40,70,60,0.7,0.4,0.0,1186,0.5795871126228322,0.2571712018140587
295,50,1,60,70,60,0.7,0.4,0.0,1577,0.70042044595617,0.4354166666666648
296,50,1,80,70,60,0.7,0.4,0.0,1908,0.8006755479969911,0.6025155895691631
297,50,1,100,70,60,0.7,0.4,0.0,2144,0.8737433862434031,0.7205002834467186
298,51,1,0,70,60,0.7,0.4,0.25,0,0.0,0.0
299,51,1,20,70,60,0.7,0.4,0.25,494,0.3144787071982527,-0.011828075979250141
300,51,1,40,70,60,0.7,0.4,0.25,571,0.34286265971381,0.010504758410213384
301,51,1,60,70,60,0.7,0.4,0.25,626,0.36362055286345873,0.01411285547323955
302,51,1,80,70,60,0.7,0.4,0.25,634,0.36526022414292997,0.015406663521573018
303,51,1,100,70,60,0.7,0.4,0.25,594,0.34585915416394836,0.010000524182275625
304,52,1,0,70,60,0.7,0.4,0.5,0,0.0,0.0
305,52,1,20,70,60,0.7,0.4,0.5,449,0.2442485232296876,-0.03069359022147678
306,52,1,40,70,60,0.7,0.4,0.5,495,0.25582932754532534,-0.03470033275867427
307,52,1,60,70,60,0.7,0.4,0.5,515,0.2665731874941753,-0.032045349532507095
308,52,1,80,70,60,0.7,0.4,0.5,503,0.2613580268484866,-0.028825074550368087
309,52,1,100,70,60,0.7,0.4,0.5,470,0.25225113637540225,-0.033591832851862215
310,53,1,0,70,60,0.7,0.4,0.75,0,0.0,0.0
311,53,1,20,70,60,0.7,0.4,0.75,421,0.15574204472504377,-0.03048195162768304
312,53,1,40,70,60,0.7,0.4,0.75,424,0.15558810662773506,-0.0297852502873295
313,53,1,60,70,60,0.7,0.4,0.75,423,0.150296907195146,-0.026836894860684
314,53,1,80,70,60,0.7,0.4,0.75,428,0.15025649338883196,-0.02594362516696176
315,53,1,100,70,60,0.7,0.4,0.75,415,0.1559730408525666,-0.02753740622961512
316,54,1,0,70,60,0.7,0.4,1.0,0,0.0,0.0
317,54,1,20,70,60,0.7,0.4,1.0,375,0.038697077004317945,0.04490417171434803
